TimeStamp,PlayerID,PosX,PosY,PosZ
2025-05-30_11:12:53.1416,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.1535,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.1550,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.1690,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.1789,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.1892,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.1983,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.2090,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.2208,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.2320,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.2423,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.2541,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.2649,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.2766,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.2880,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.2982,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.3100,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.3209,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.3316,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.3434,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.3546,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.3648,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.3765,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.3868,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.4213,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.4228,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.4228,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.4422,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.4422,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.4585,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.4645,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.4753,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.4856,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.4975,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.5084,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.5193,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.5310,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.5418,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.5522,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.5644,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.5752,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.5856,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.5974,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.6087,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.6199,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.6308,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.6422,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.6520,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.6632,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.6756,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.6864,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.6976,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.7083,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.7191,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.7308,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.7421,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.7529,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.7647,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.7755,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.7856,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.7977,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.8083,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.8196,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.8310,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.8407,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.8526,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.8632,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.8750,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.8863,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.8972,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.9086,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.9196,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.9310,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.9418,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.9533,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.9635,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.9748,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.9851,ID_3,33.000,0.000,0.000
2025-05-30_11:12:53.9962,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.0085,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.0189,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.0308,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.0416,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.0529,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.0632,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.0744,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.0861,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.0971,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.1089,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.1193,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.1301,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.1416,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.1535,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.1641,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.1743,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.1851,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.1978,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.2086,ID_3,33.000,0.000,0.000
2025-05-30_11:12:54.2200,ID_3,32.999,0.000,0.000
2025-05-30_11:12:54.2307,ID_3,32.996,0.000,0.000
2025-05-30_11:12:54.2422,ID_3,32.990,0.000,0.000
2025-05-30_11:12:54.2534,ID_3,32.985,0.000,-0.001
2025-05-30_11:12:54.2636,ID_3,32.978,0.000,-0.001
2025-05-30_11:12:54.2750,ID_3,32.965,0.000,-0.001
2025-05-30_11:12:54.2864,ID_3,32.952,0.000,-0.002
2025-05-30_11:12:54.2978,ID_3,32.929,0.000,-0.004
2025-05-30_11:12:54.3086,ID_3,32.906,0.000,-0.007
2025-05-30_11:12:54.3189,ID_3,32.883,0.000,-0.010
2025-05-30_11:12:54.3307,ID_3,32.859,0.000,-0.013
2025-05-30_11:12:54.3416,ID_3,32.836,0.000,-0.016
2025-05-30_11:12:54.3519,ID_3,32.813,0.000,-0.019
2025-05-30_11:12:54.3633,ID_3,32.790,0.000,-0.022
2025-05-30_11:12:54.3746,ID_3,32.767,0.000,-0.025
2025-05-30_11:12:54.3854,ID_3,32.744,0.000,-0.028
2025-05-30_11:12:54.3974,ID_3,32.721,0.000,-0.031
2025-05-30_11:12:54.4086,ID_3,32.697,0.000,-0.033
2025-05-30_11:12:54.4189,ID_3,32.674,0.000,-0.035
2025-05-30_11:12:54.4301,ID_3,32.651,0.000,-0.037
2025-05-30_11:12:54.4423,ID_3,32.628,0.000,-0.039
2025-05-30_11:12:54.4527,ID_3,32.604,0.000,-0.041
2025-05-30_11:12:54.4630,ID_3,32.581,0.000,-0.043
2025-05-30_11:12:54.4747,ID_3,32.558,0.000,-0.045
2025-05-30_11:12:54.4865,ID_3,32.535,0.000,-0.047
2025-05-30_11:12:54.4962,ID_3,32.511,0.000,-0.048
2025-05-30_11:12:54.5091,ID_3,32.488,0.000,-0.050
2025-05-30_11:12:54.5189,ID_3,32.465,0.000,-0.052
2025-05-30_11:12:54.5301,ID_3,32.441,0.000,-0.054
2025-05-30_11:12:54.5417,ID_3,32.418,0.000,-0.056
2025-05-30_11:12:54.5518,ID_3,32.395,0.000,-0.058
2025-05-30_11:12:54.5632,ID_3,32.372,0.000,-0.060
2025-05-30_11:12:54.5750,ID_3,32.348,0.000,-0.062
2025-05-30_11:12:54.5862,ID_3,32.325,0.000,-0.064
2025-05-30_11:12:54.5976,ID_3,32.302,0.000,-0.066
2025-05-30_11:12:54.6085,ID_3,32.279,0.000,-0.068
