TimeStamp,PlayerID,PosX,PosY,PosZ
2025-05-30_13:06:43.8171,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.8270,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.8270,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.8393,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.8567,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.8691,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.8789,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.8904,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.9007,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.9126,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.9235,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.9339,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.9460,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.9569,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.9684,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.9792,ID_2,33.000,0.000,0.000
2025-05-30_13:06:43.9902,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.0017,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.0116,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.0231,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.0348,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.0453,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.0816,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.0827,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.0827,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.0832,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.1018,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.1064,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.1217,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.1338,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.1441,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.1559,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.1673,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.1782,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.1890,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.1998,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.2118,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.2220,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.2334,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.2442,ID_2,33.000,0.000,0.000
2025-05-30_13:06:44.2555,ID_2,33.000,0.000,0.000
