TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度
2025-05-30_13:09:18.4320,天花板,32.4746,3.0000,0.1356,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9528,1.0000
2025-05-30_13:09:18.4455,天花板,32.4713,3.0000,0.1368,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9528,1.0000
2025-05-30_13:09:18.4557,天花板,32.4717,3.0000,0.1371,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9528,1.0000
2025-05-30_13:09:18.4649,天花板,32.4732,3.0000,0.1340,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9447,1.0000
2025-05-30_13:09:18.4722,天花板,32.4737,3.0000,0.1342,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9447,1.0000
2025-05-30_13:09:18.4845,天花板,32.4708,3.0000,0.1336,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9451,1.0000
2025-05-30_13:09:18.4947,天花板,32.4730,3.0000,0.1312,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9451,1.0000
2025-05-30_13:09:18.5054,天花板,32.4781,3.0000,0.1189,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9474,1.0000
2025-05-30_13:09:18.5174,天花板,32.4795,3.0000,0.1190,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9474,1.0000
2025-05-30_13:09:18.5272,天花板,32.4775,3.0000,0.1222,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9474,1.0000
2025-05-30_13:09:18.5391,天花板,32.4831,3.0000,0.1093,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9606,1.0000
2025-05-30_13:09:18.5504,天花板,32.4848,3.0000,0.1083,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9606,1.0000
