TimeStamp,PlayerID,PosX,PosY,PosZ
2025-05-30_13:09:18.3792,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.4279,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.4439,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.4439,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.4532,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.4619,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.4829,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.4947,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.5054,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.5159,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.5272,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.5391,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.5504,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.5605,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.5723,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.5824,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.5942,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.6050,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.6164,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.6277,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.6385,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.6503,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.6605,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.6719,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7056,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7071,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7071,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7071,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7286,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7291,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7507,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7507,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7718,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7836,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.7939,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.8051,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.8169,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.8273,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.8387,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.8504,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.8608,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.8722,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.8841,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.8947,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.9056,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.9170,ID_1,33.000,0.000,0.000
2025-05-30_13:09:18.9280,ID_1,33.000,0.000,0.000
