TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-03_17:31:48.3732,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4880,0.4880,32.5946,1.4615,-0.0426,-0.0720,0.7866,-0.1187,-0.6017
2025-06-03_17:31:48.3842,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4880,0.4880,32.5935,1.4623,-0.0391,-0.0701,0.7863,-0.1158,-0.6029
2025-06-03_17:31:48.3945,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4880,0.4880,32.5924,1.4632,-0.0355,-0.0697,0.7855,-0.1125,-0.6045
2025-06-03_17:31:48.4063,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4880,0.4880,32.5913,1.4639,-0.0321,-0.0693,0.7845,-0.1090,-0.6065
2025-06-03_17:31:48.4163,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4880,0.4880,32.5902,1.4644,-0.0287,-0.0672,0.7840,-0.1067,-0.6078
2025-06-03_17:31:48.4291,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7903,0.7903,32.5893,1.4646,-0.0252,-0.0644,0.7833,-0.1049,-0.6093
2025-06-03_17:31:48.4417,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7903,0.7903,32.5884,1.4649,-0.0215,-0.0618,0.7830,-0.1037,-0.6103
2025-06-03_17:31:48.4499,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.8926,32.5876,1.4652,-0.0182,-0.0600,0.7813,-0.1031,-0.6127
2025-06-03_17:31:48.4617,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.8926,32.5868,1.4655,-0.0150,-0.0597,0.7799,-0.1017,-0.6148
2025-06-03_17:31:48.4730,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.8926,32.5861,1.4656,-0.0120,-0.0599,0.7778,-0.0998,-0.6176
2025-06-03_17:31:48.4838,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9560,0.9560,32.5855,1.4658,-0.0089,-0.0598,0.7764,-0.0980,-0.6198
2025-06-03_17:31:48.4951,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9560,0.9560,32.5850,1.4657,-0.0059,-0.0587,0.7753,-0.0981,-0.6212
2025-06-03_17:31:48.5054,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9820,0.9820,32.5845,1.4657,-0.0029,-0.0588,0.7742,-0.0976,-0.6226
2025-06-03_17:31:48.5166,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9820,0.9820,32.5838,1.4660,-0.0003,-0.0595,0.7726,-0.0961,-0.6247
2025-06-03_17:31:48.5280,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9820,0.9820,32.5831,1.4664,0.0021,-0.0603,0.7708,-0.0939,-0.6272
2025-06-03_17:31:48.5448,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9908,0.9908,32.5825,1.4665,0.0044,-0.0612,0.7689,-0.0914,-0.6298
2025-06-03_17:31:48.5571,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9908,0.9908,32.5819,1.4667,0.0065,-0.0620,0.7665,-0.0888,-0.6330
2025-06-03_17:31:48.5686,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9970,0.9970,32.5814,1.4669,0.0086,-0.0627,0.7642,-0.0860,-0.6362
2025-06-03_17:31:48.5798,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9970,0.9970,32.5810,1.4671,0.0107,-0.0636,0.7623,-0.0838,-0.6386
2025-06-03_17:31:48.5902,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9970,0.9970,32.5807,1.4671,0.0127,-0.0643,0.7605,-0.0816,-0.6410
