TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-04_20:58:50.2308,Cube,3.3390,0.9460,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0672,1.4340,-0.2925,-0.1939,0.9576,-0.1248,-0.1729
2025-06-04_20:58:50.2615,Cube,3.4473,1.1548,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0698,1.4372,-0.2939,-0.1871,0.9633,-0.1119,-0.1568
2025-06-04_20:58:50.2747,Cube,3.6640,1.3389,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0708,1.4383,-0.2944,-0.1806,0.9650,-0.1114,-0.1540
2025-06-04_20:58:50.2937,Cube,3.5041,1.3064,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0706,1.4398,-0.2944,-0.1763,0.9660,-0.1085,-0.1547
2025-06-04_20:58:50.3012,Cube,3.3537,1.2607,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0703,1.4404,-0.2945,-0.1741,0.9666,-0.1063,-0.1555
2025-06-04_20:58:50.3113,Cube,3.3298,1.2808,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0696,1.4407,-0.2940,-0.1718,0.9669,-0.1037,-0.1578
2025-06-04_20:58:50.3240,Cube,3.1853,1.2074,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0689,1.4408,-0.2937,-0.1669,0.9675,-0.1030,-0.1598
2025-06-04_20:58:50.3365,Cube,3.0603,1.1280,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0682,1.4410,-0.2934,-0.1634,0.9677,-0.1031,-0.1622
2025-06-04_20:58:50.3460,Cube,2.9679,1.0869,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0673,1.4409,-0.2925,-0.1603,0.9675,-0.1038,-0.1659
2025-06-04_20:58:50.3581,Cube,2.9298,1.0805,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0663,1.4409,-0.2918,-0.1580,0.9671,-0.1040,-0.1699
2025-06-04_20:58:50.3692,Cube,2.8356,1.0441,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0653,1.4408,-0.2911,-0.1561,0.9667,-0.1042,-0.1740
2025-06-04_20:58:50.3803,Cube,2.7821,1.0236,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0645,1.4409,-0.2906,-0.1548,0.9663,-0.1043,-0.1773
2025-06-04_20:58:50.3919,Cube,2.7348,1.0136,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0627,1.4409,-0.2891,-0.1525,0.9657,-0.1048,-0.1820
2025-06-04_20:58:50.4005,Cube,2.6978,0.9986,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0615,1.4412,-0.2883,-0.1524,0.9647,-0.1058,-0.1869
2025-06-04_20:58:50.4136,Cube,2.6409,0.9930,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0602,1.4414,-0.2872,-0.1519,0.9639,-0.1044,-0.1919
2025-06-04_20:58:50.4241,Cube,2.5215,0.9096,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0589,1.4416,-0.2863,-0.1501,0.9633,-0.1024,-0.1974
2025-06-04_20:58:50.4352,Cube,2.4645,0.9214,-4.9000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0575,1.4417,-0.2853,-0.1473,0.9629,-0.1007,-0.2026
2025-06-04_20:58:50.4473,Cube (8),3.1000,1.0000,-2.2667,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0560,1.4420,-0.2841,-0.1435,0.9624,-0.0997,-0.2079
2025-06-04_20:58:50.4858,Cube (8),3.1000,0.9896,-1.9173,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0536,1.4426,-0.2819,-0.1376,0.9611,-0.1006,-0.2172
2025-06-04_20:58:50.5185,Cube (8),3.1000,0.9611,-1.6621,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.0511,1.4435,-0.2791,-0.1325,0.9594,-0.0988,-0.2283
