TimeStamp,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,碰撞点X,碰撞点Y,碰撞点Z,碰撞物体名称,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度
2025-06-07_20:03:45.7620,32.8459,1.1534,-0.0153,4.9755,271.6151,4.5342,26.6428,0.0000,0.3286,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.7853,32.8456,1.1530,-0.0144,5.2581,271.6344,4.7491,26.6664,0.0000,0.3160,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.7904,32.8452,1.1523,-0.0134,5.4898,271.6024,4.9210,26.6250,0.0000,0.2921,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.8043,32.8449,1.1514,-0.0128,5.7704,271.5499,5.1003,26.8074,0.0000,0.2798,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.8155,32.8447,1.1509,-0.0125,5.8762,271.4926,5.2193,26.7753,0.0000,0.2629,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.8259,32.8447,1.1506,-0.0124,5.9693,271.4060,5.3260,26.8337,0.0000,0.2522,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.8369,32.8446,1.1504,-0.0123,6.0133,271.3580,5.3863,26.8118,0.0000,0.2426,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.8485,32.8444,1.1503,-0.0122,6.0632,271.2340,5.4670,26.7750,0.0000,0.2239,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.8595,32.8443,1.1501,-0.0123,6.1058,271.0977,5.5383,26.7115,0.0000,0.2132,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.8708,32.8442,1.1500,-0.0123,6.1384,270.9525,5.5789,26.7321,0.0000,0.1972,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.8820,32.8441,1.1499,-0.0123,6.1810,270.8120,5.4983,26.6846,0.0000,0.1772,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.8931,32.8440,1.1498,-0.0122,6.2237,270.6715,5.3145,26.5520,0.0000,0.2162,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.9044,32.8441,1.1500,-0.0119,6.2378,270.5934,5.0905,26.5641,0.0000,0.2060,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.9155,32.8442,1.1501,-0.0117,6.2621,270.5275,4.8613,26.5029,0.0000,0.1885,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.9262,32.8442,1.1502,-0.0116,6.2742,270.4940,4.7446,26.4744,0.0000,0.1986,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.9373,32.8442,1.1503,-0.0114,6.2977,270.4278,4.5153,26.4935,0.0000,0.1895,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.9495,32.8442,1.1509,-0.0111,6.0137,270.5133,4.8797,26.2817,0.0000,0.2084,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.9598,32.8439,1.1516,-0.0106,5.6793,270.7061,4.6545,26.0273,0.0000,0.2388,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.9711,32.8439,1.1519,-0.0102,5.5697,270.8293,4.6371,25.7483,0.0000,0.3090,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.9822,32.8439,1.1520,-0.0100,5.5011,270.9692,4.6279,25.6894,0.0000,0.3294,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:45.9934,32.8440,1.1519,-0.0097,5.5664,271.0851,4.6093,25.7110,0.0000,0.3513,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.0043,32.8441,1.1518,-0.0095,5.7681,271.1378,4.5490,25.8753,0.0000,0.3516,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.0154,32.8441,1.1517,-0.0094,5.9020,271.0660,4.5573,25.9276,0.0000,0.3503,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.0257,32.8440,1.1516,-0.0096,5.9905,270.9660,4.5517,25.9990,0.0000,0.3344,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.0370,32.8437,1.1515,-0.0099,6.0418,270.8064,4.5279,26.0410,0.0000,0.3128,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.0482,32.8436,1.1515,-0.0100,6.0505,270.6666,4.5192,26.0377,0.0000,0.2984,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.0598,32.8434,1.1514,-0.0102,5.9660,270.4641,4.5707,25.9682,0.0000,0.2773,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.0706,32.8433,1.1513,-0.0104,5.8560,270.3202,4.6868,25.8884,0.0000,0.2629,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.0818,32.8431,1.1513,-0.0104,5.7980,270.1841,4.8376,25.8451,0.0000,0.2489,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.0927,32.8430,1.1512,-0.0105,5.7541,270.0436,4.9595,25.8048,0.0000,0.2338,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.1039,32.8430,1.1511,-0.0105,5.7419,269.9187,5.0633,25.8040,0.0000,0.2172,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:03:46.1154,32.8430,1.1511,-0.0103,5.7743,269.7004,5.3314,25.8110,0.0000,0.1918,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
