TimeStamp,PlayerID,PosX,PosY,PosZ
2025-05-27_21:08:27.1659,VR_Player_01,-4.100,0.010,-0.801
2025-05-27_21:08:27.1780,VR_Player_01,-4.100,0.010,-0.801
2025-05-27_21:08:27.1866,VR_Player_01,-4.146,0.010,-0.797
2025-05-27_21:08:27.1915,VR_Player_01,-4.146,0.010,-0.797
2025-05-27_21:08:27.2000,VR_Player_01,-4.170,0.010,-0.794
2025-05-27_21:08:27.2128,VR_Player_01,-4.193,0.010,-0.792
2025-05-27_21:08:27.2220,VR_Player_01,-4.216,0.010,-0.789
2025-05-27_21:08:27.2337,VR_Player_01,-4.239,0.010,-0.787
2025-05-27_21:08:27.2443,VR_Player_01,-4.262,0.010,-0.785
2025-05-27_21:08:27.2570,VR_Player_01,-4.286,0.010,-0.782
2025-05-27_21:08:27.2671,VR_Player_01,-4.309,0.010,-0.780
2025-05-27_21:08:27.2783,VR_Player_01,-4.332,0.010,-0.777
2025-05-27_21:08:27.2891,VR_Player_01,-4.355,0.010,-0.775
2025-05-27_21:08:27.3002,VR_Player_01,-4.378,0.010,-0.773
2025-05-27_21:08:27.3100,VR_Player_01,-4.402,0.010,-0.770
2025-05-27_21:08:27.3227,VR_Player_01,-4.425,0.010,-0.768
2025-05-27_21:08:27.3328,VR_Player_01,-4.448,0.010,-0.765
2025-05-27_21:08:27.3444,VR_Player_01,-4.471,0.010,-0.763
2025-05-27_21:08:27.3561,VR_Player_01,-4.494,0.010,-0.760
2025-05-27_21:08:27.3670,VR_Player_01,-4.517,0.010,-0.758
2025-05-27_21:08:27.3782,VR_Player_01,-4.541,0.010,-0.756
2025-05-27_21:08:27.3893,VR_Player_01,-4.564,0.010,-0.753
2025-05-27_21:08:27.4015,VR_Player_01,-4.587,0.010,-0.751
2025-05-27_21:08:27.4116,VR_Player_01,-4.610,0.010,-0.749
2025-05-27_21:08:27.4224,VR_Player_01,-4.633,0.010,-0.746
2025-05-27_21:08:27.4336,VR_Player_01,-4.657,0.010,-0.744
2025-05-27_21:08:27.4448,VR_Player_01,-4.680,0.010,-0.742
2025-05-27_21:08:27.4559,VR_Player_01,-4.703,0.010,-0.740
2025-05-27_21:08:27.4670,VR_Player_01,-4.726,0.010,-0.737
2025-05-27_21:08:27.4775,VR_Player_01,-4.749,0.010,-0.735
2025-05-27_21:08:27.4891,VR_Player_01,-4.773,0.010,-0.733
2025-05-27_21:08:27.5002,VR_Player_01,-4.796,0.010,-0.731
2025-05-27_21:08:27.5119,VR_Player_01,-4.819,0.010,-0.729
2025-05-27_21:08:27.5217,VR_Player_01,-4.842,0.010,-0.727
2025-05-27_21:08:27.5349,VR_Player_01,-4.866,0.010,-0.725
2025-05-27_21:08:27.5445,VR_Player_01,-4.889,0.010,-0.723
2025-05-27_21:08:27.5551,VR_Player_01,-4.912,0.010,-0.721
2025-05-27_21:08:27.5663,VR_Player_01,-4.935,0.010,-0.719
2025-05-27_21:08:27.5780,VR_Player_01,-4.958,0.010,-0.717
2025-05-27_21:08:27.5897,VR_Player_01,-4.982,0.010,-0.715
