TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-03_17:14:41.3675,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9095,0.9699,32.7468,1.4721,-0.1346,0.0298,0.7312,-0.1116,-0.6723
2025-06-03_17:14:41.3949,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9629,0.9877,32.7513,1.4730,-0.1192,0.0268,0.7335,-0.1051,-0.6710
2025-06-03_17:14:41.4051,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9938,0.9979,32.7535,1.4730,-0.1113,0.0251,0.7333,-0.1027,-0.6716
2025-06-03_17:14:41.4154,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9938,0.9979,32.7543,1.4730,-0.1074,0.0241,0.7332,-0.1018,-0.6719
2025-06-03_17:14:41.4265,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9938,0.9979,32.7551,1.4730,-0.1034,0.0234,0.7335,-0.1004,-0.6718
2025-06-03_17:14:41.4492,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9960,0.9987,32.7569,1.4732,-0.0953,0.0237,0.7343,-0.0985,-0.6712
2025-06-03_17:14:41.4666,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9980,0.9993,32.7580,1.4742,-0.0887,0.0248,0.7351,-0.0989,-0.6702
2025-06-03_17:14:41.4837,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9980,0.9993,32.7590,1.4752,-0.0833,0.0244,0.7361,-0.0995,-0.6691
2025-06-03_17:14:41.4936,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9992,0.9997,32.7596,1.4758,-0.0795,0.0239,0.7371,-0.0994,-0.6680
2025-06-03_17:14:41.5027,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9992,0.9997,32.7603,1.4764,-0.0758,0.0235,0.7381,-0.0991,-0.6669
2025-06-03_17:14:41.5140,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,0.9999,32.7608,1.4769,-0.0720,0.0235,0.7391,-0.0986,-0.6660
2025-06-03_17:14:41.5324,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,0.9999,32.7621,1.4781,-0.0644,0.0236,0.7405,-0.0960,-0.6647
2025-06-03_17:14:41.5477,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,0.9999,32.7626,1.4785,-0.0602,0.0236,0.7411,-0.0945,-0.6642
2025-06-03_17:14:41.5659,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9999,32.7638,1.4789,-0.0529,0.0233,0.7419,-0.0903,-0.6640
2025-06-03_17:14:41.5828,Cube (3),23.0829,1.2210,-0.8198,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9999,32.7641,1.4792,-0.0486,0.0224,0.7425,-0.0887,-0.6635
2025-06-03_17:14:41.6251,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9999,1.0000,32.7657,1.4796,-0.0333,0.0209,0.7451,-0.0841,-0.6613
2025-06-03_17:14:41.6514,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7667,1.4793,-0.0257,0.0180,0.7461,-0.0827,-0.6605
2025-06-03_17:14:41.6582,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7670,1.4792,-0.0219,0.0161,0.7464,-0.0822,-0.6602
2025-06-03_17:14:41.6800,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7679,1.4789,-0.0143,0.0106,0.7473,-0.0807,-0.6595
2025-06-03_17:14:41.6996,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7688,1.4786,-0.0068,0.0054,0.7481,-0.0782,-0.6590
2025-06-03_17:14:41.7153,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7689,1.4788,-0.0041,0.0019,0.7471,-0.0752,-0.6604
2025-06-03_17:14:41.7334,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7694,1.4789,0.0035,-0.0036,0.7467,-0.0687,-0.6616
2025-06-03_17:14:41.7463,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7695,1.4791,0.0073,-0.0047,0.7465,-0.0662,-0.6621
2025-06-03_17:14:41.7566,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7696,1.4792,0.0111,-0.0061,0.7465,-0.0636,-0.6623
2025-06-03_17:14:41.7679,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7699,1.4793,0.0147,-0.0074,0.7467,-0.0605,-0.6624
2025-06-03_17:14:41.7817,无碰撞,NaN,NaN,NaN,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7699,1.4795,0.0188,-0.0060,0.7474,-0.0593,-0.6617
2025-06-03_17:14:41.8024,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.7700,1.4802,0.0262,-0.0065,0.7453,-0.0523,-0.6646
