TimeStamp,PlayerID,PosX,PosY,PosZ
2025-05-27_21:02:55.7722,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.7900,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.7999,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.8126,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.8249,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.8350,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.8454,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.8576,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.8674,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.8790,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.8891,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.9018,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.9118,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.9237,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.9343,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.9464,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.9587,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.9681,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.9787,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:55.9908,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.0004,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.0115,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.0220,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.0327,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.0457,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.0553,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.0674,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.0775,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.0906,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.1012,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.1119,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.1229,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.1347,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.1459,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.1555,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.1666,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.1797,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.1894,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.2010,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.2115,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.2217,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.2353,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.2449,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.2566,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.2661,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.2792,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.2895,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.3011,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.3117,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.3225,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.3346,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.3443,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.3558,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.3676,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.3789,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.3885,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.4001,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.4148,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.4236,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.4334,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.4448,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.4559,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.4675,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.4780,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.4890,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.4997,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.5116,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.5231,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.5337,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.5529,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.5621,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.5717,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.5838,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.5948,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.6078,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.6175,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.6288,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.6404,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.6515,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.6626,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.6728,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.6854,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.6969,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.7060,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.7177,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.7287,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.7418,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.7500,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.7626,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.7721,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.7850,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.7966,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.8052,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.8178,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.8282,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.8418,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.8503,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.8620,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.8738,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.8859,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.8945,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.9071,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.9171,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.9303,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.9403,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.9498,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.9621,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.9728,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.9855,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:56.9975,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.0063,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.0199,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.0285,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.0409,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.0506,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.0617,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.0743,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.0834,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.0965,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.1064,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.1193,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.1296,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.1398,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.1518,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.1615,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.1736,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.1835,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.1964,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.2071,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.2177,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.2295,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.2396,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.2509,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.2631,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.2729,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.2859,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.2949,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.3096,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.3180,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.3283,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.3404,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.3547,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.3618,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.3729,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.3845,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.3971,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.4068,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.4176,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.4300,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.4397,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.4526,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.4618,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.4749,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.4836,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.4966,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.5072,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.5169,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.5295,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.5408,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.5518,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.5619,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.5731,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.5852,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.5951,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.6057,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.6186,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.6303,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.6394,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.6521,VR_Player_01,32.978,0.000,0.007
2025-05-27_21:02:57.6632,VR_Player_01,32.978,0.000,0.007
