TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-03_15:56:33.6428,Sphere,32.4489,0.8849,-0.1043,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.2000,0.0000,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.6516,Sphere,32.4489,0.8849,-0.1043,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.2000,0.0000,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.6625,Sphere,32.4488,0.8855,-0.1049,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5904,0.2000,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.6739,Sphere,32.4486,0.8861,-0.1053,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.5904,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.6840,Sphere,32.4486,0.8861,-0.1053,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.5904,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.6969,Sphere,32.4486,0.8863,-0.1055,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.5904,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.7078,Sphere,32.4486,0.8863,-0.1055,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.5904,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.7176,Sphere,32.4486,0.8863,-0.1055,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.5904,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.7290,Sphere,32.4486,0.8863,-0.1055,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.5904,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.7404,Sphere,32.4486,0.8863,-0.1055,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.5904,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.7520,Sphere,32.4486,0.8863,-0.1055,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3778,0.3779,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.7633,Sphere,32.4486,0.8863,-0.1055,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3778,0.3779,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.7741,Sphere,32.4486,0.8863,-0.1055,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3778,0.3779,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.7853,Sphere,32.4485,0.8862,-0.1055,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.2266,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.7966,Sphere,32.4485,0.8862,-0.1055,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.3667,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.8070,Sphere,32.4485,0.8862,-0.1055,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.3667,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.8183,Sphere,32.4485,0.8862,-0.1055,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.3667,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.8296,Sphere,32.4485,0.8862,-0.1055,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3685,0.4788,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.8407,Sphere,32.4485,0.8862,-0.1055,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3685,0.4788,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.8520,Sphere,32.4485,0.8862,-0.1055,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3685,0.5830,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.8643,Sphere,32.4486,0.8857,-0.1047,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3685,0.5830,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.8750,Sphere,32.4486,0.8858,-0.1050,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3685,0.5830,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.8846,Sphere,32.4486,0.8858,-0.1050,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3685,0.5830,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.8974,Sphere,32.4486,0.8858,-0.1050,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5959,0.7331,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.9083,Sphere,32.4486,0.8860,-0.1054,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7931,0.8634,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.9185,Sphere,32.4486,0.8860,-0.1054,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7931,0.8634,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.9282,Sphere,32.4486,0.8860,-0.1054,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7931,0.8634,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.9407,Sphere,32.4486,0.8861,-0.1056,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8345,0.8907,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.9525,Sphere,32.4486,0.8862,-0.1057,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8345,0.8907,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.9622,Sphere,32.4486,0.8862,-0.1057,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8345,0.8907,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.9736,Sphere,32.4486,0.8862,-0.1057,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9458,0.9642,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.9853,Sphere,32.4487,0.8863,-0.1058,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9458,0.9642,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:33.9965,Sphere,32.4487,0.8863,-0.1058,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9458,0.9642,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.0068,Sphere,32.4487,0.8862,-0.1058,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9722,0.9817,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.0192,Sphere,32.4487,0.8863,-0.1059,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9858,0.9906,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.0286,Sphere,32.4487,0.8863,-0.1059,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9858,0.9906,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.0405,Sphere,32.4487,0.8868,-0.1067,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9927,0.9952,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.0520,Sphere,32.4487,0.8868,-0.1068,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9927,0.9952,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.0626,Sphere,32.4487,0.8868,-0.1068,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9927,0.9952,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.0733,Sphere,32.4487,0.8872,-0.1075,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9953,0.9969,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.0851,Sphere,32.4487,0.8872,-0.1073,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9953,0.9969,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.0969,Sphere,32.4486,0.8861,-0.1055,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9981,0.9987,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.1061,Sphere,32.4486,0.8861,-0.1055,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9981,0.9987,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.1187,Sphere,32.4486,0.8854,-0.1044,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9981,0.9987,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.1291,Sphere,32.4486,0.8854,-0.1044,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9985,0.9992,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.1405,Sphere,32.4486,0.8854,-0.1044,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9985,0.9992,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.1518,Sphere,32.4486,0.8854,-0.1044,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7988,0.9992,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.1622,Sphere,32.4486,0.8854,-0.1044,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5112,0.8012,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.1736,Sphere,32.4486,0.8854,-0.1044,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5112,0.8012,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.1854,Sphere,32.4486,0.8854,-0.1044,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5112,0.8012,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.1952,Sphere,32.4486,0.8854,-0.1044,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4090,0.7422,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
2025-06-03_15:56:34.2075,Sphere,32.4490,0.8849,-0.1044,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4090,0.7422,32.5354,1.0465,-0.0615,-0.5035,0.5218,-0.4633,-0.5094
