TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度
2025-05-29_12:03:44.5708,Plane,25.8044,0.0000,0.1146,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000
2025-05-29_12:03:44.5801,Plane,25.8029,0.0000,0.1151,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000
2025-05-29_12:03:44.5920,Plane,25.7856,0.0000,0.1173,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000
2025-05-29_12:03:44.6033,Plane,25.7508,0.0000,0.1194,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5904,0.4880
2025-05-29_12:03:44.6145,Plane,25.7448,0.0000,0.1171,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5904,0.4880
2025-05-29_12:03:44.6253,Plane,25.7516,0.0000,0.1189,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8322,0.7903
2025-05-29_12:03:44.6355,Plane,25.7838,0.0000,0.1219,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8322,0.7903
2025-05-29_12:03:44.6479,Plane,25.8165,0.0000,0.1226,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8322,0.7903
2025-05-29_12:03:44.6582,Plane,25.8581,0.0000,0.1057,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9141,0.8926
2025-05-29_12:03:44.6696,Plane,25.8884,0.0000,0.1059,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9141,0.8926
2025-05-29_12:03:44.6814,Plane,25.9287,0.0000,0.0168,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9313
2025-05-29_12:03:44.6924,Plane,26.0748,0.0000,-0.3771,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9313
2025-05-29_12:03:44.7027,Plane,26.0976,0.0000,-0.5174,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9775,0.9719
2025-05-29_12:03:44.7137,Plane,26.0567,0.0000,-0.5203,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9775,0.9719
2025-05-29_12:03:44.7281,Plane,25.9973,0.0000,-0.5224,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9885,0.9856
2025-05-29_12:03:44.7404,Plane,25.9744,0.0000,-0.5292,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9885,0.9856
2025-05-29_12:03:44.7479,Plane,25.9513,0.0000,-0.5327,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9885,0.9856
2025-05-29_12:03:44.7591,Plane,25.9216,0.0000,-0.5398,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9926,0.9908
2025-05-29_12:03:44.7694,Plane,25.8794,0.0000,-0.5471,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9926,0.9908
2025-05-29_12:03:44.7801,Plane,25.8744,0.0000,-0.5515,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9926,0.9908
2025-05-29_12:03:44.7924,Plane,25.8411,0.0000,-0.5591,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9976,0.9970
2025-05-29_12:03:44.8027,Plane,25.7857,0.0000,-0.5651,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9976,0.9970
2025-05-29_12:03:44.8144,Plane,25.7693,0.0000,-0.5681,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9990,0.9988
2025-05-29_12:03:44.8257,Plane,25.7742,0.0000,-0.5705,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9990,0.9988
2025-05-29_12:03:44.8369,Plane,25.7803,0.0000,-0.5724,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9994,0.9992
2025-05-29_12:03:44.8493,Plane,25.7600,0.0000,-0.5768,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9994,0.9992
2025-05-29_12:03:44.8576,Plane,25.7981,0.0000,-0.5734,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9994,0.9992
2025-05-29_12:03:44.8695,Plane,25.7879,0.0000,-0.5728,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9996,0.9995
2025-05-29_12:03:44.8803,Plane,25.8015,0.0000,-0.5673,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9997
2025-05-29_12:03:44.8922,Plane,25.8158,0.0000,-0.5629,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9997
2025-05-29_12:03:44.9031,Plane,25.7941,0.0000,-0.5622,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9997
2025-05-29_12:03:44.9135,Plane,25.7800,0.0000,-0.5590,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9997
2025-05-29_12:03:44.9258,Plane,25.7301,0.0000,-0.5625,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9999,0.9999
2025-05-29_12:03:44.9356,Plane,25.7003,0.0000,-0.5594,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9999,0.9999
2025-05-29_12:03:44.9465,Plane,25.6389,0.0000,-0.5591,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9999,0.9999
2025-05-29_12:03:44.9582,Plane,25.5851,0.0000,-0.5643,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:44.9687,Plane,25.5777,0.0000,-0.5597,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:44.9804,Plane,24.8036,0.0000,-0.6230,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:44.9920,Plane,24.8238,0.0000,-0.6139,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.0028,Plane,24.0111,0.0000,-0.4227,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.0141,Plane,24.0167,0.0000,-0.4122,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.0249,Plane,23.3239,0.0000,0.0298,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.0368,Plane,22.5520,0.0000,0.4002,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.0474,Plane,22.5273,0.0000,0.4115,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.0588,Plane,21.9119,0.0000,0.5662,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.0701,Plane,21.3529,0.0000,0.6720,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.0799,Plane,21.4413,0.0000,0.6763,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.0969,Plane,20.7670,0.0000,0.8988,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.1074,Plane,20.8826,0.0000,0.8977,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.1188,Plane,20.4416,0.0000,1.0131,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.1301,Plane,20.5330,0.0000,1.0155,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.1412,Plane,20.5382,0.0000,1.0249,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.1527,Cube,23.0801,0.4494,0.9262,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.1631,Cube,23.0801,0.4751,0.9324,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.1747,Cube,23.0801,0.4750,0.9377,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.1850,Cube,23.0801,0.4750,0.9502,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.1974,Cube,23.0801,0.4750,0.9564,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.2090,Plane,14.5637,0.0000,1.8833,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.2193,Plane,14.2967,0.0000,1.9180,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.2307,Plane,13.6360,0.0000,1.9976,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.2420,Plane,13.6269,0.0000,2.0166,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.2528,Plane,13.0573,0.0000,2.0795,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.2640,Plane,13.5675,0.0000,2.0196,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.2749,Plane,12.8875,0.0000,2.1080,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.2868,Plane,11.4993,0.0000,2.2848,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.2976,Plane,10.8015,0.0000,2.3639,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.3089,Plane,10.6966,0.0000,2.3834,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.3197,Plane,9.8466,0.0000,2.4973,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.3310,Plane,8.8123,0.0000,2.6060,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.3422,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.3534,Cube (2),23.0829,1.1296,0.8022,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.3643,Cube (2),23.0829,0.9755,0.8278,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.3741,Cube (2),23.0829,1.0044,0.8278,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_12:03:45.3866,Cube (2),23.0829,1.3117,0.8022,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
