TimeStamp,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,碰撞点X,碰撞点Y,碰撞点Z,碰撞物体名称,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度
2025-06-07_20:08:01.5372,32.8689,1.1730,-0.0192,349.5353,281.6090,5.4263,NaN,NaN,NaN,无碰撞,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:08:01.5470,32.8694,1.1736,-0.0185,349.1824,282.1880,5.5500,NaN,NaN,NaN,无碰撞,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:08:01.5598,32.8699,1.1739,-0.0178,348.8941,282.8213,5.6068,NaN,NaN,NaN,无碰撞,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-06-07_20:08:01.5700,32.8702,1.1742,-0.0175,348.7925,283.1374,5.6519,NaN,NaN,NaN,无碰撞,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3600,0.4880
2025-06-07_20:08:01.5806,32.8707,1.1746,-0.0169,348.6049,283.6597,5.7495,NaN,NaN,NaN,无碰撞,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3600,0.4880
2025-06-07_20:08:01.5921,32.8711,1.1748,-0.0164,348.4595,284.1151,5.7531,NaN,NaN,NaN,无碰撞,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3600,0.4880
2025-06-07_20:08:01.6038,32.8716,1.1751,-0.0158,348.3414,284.6017,5.7476,30.3259,1.7552,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4880,0.5904
2025-06-07_20:08:01.6139,32.8720,1.1753,-0.0154,348.2513,284.9035,5.7559,30.4175,1.7450,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8322,0.8658
2025-06-07_20:08:01.6256,32.8723,1.1754,-0.0152,348.2508,285.1345,5.7367,30.4417,1.7405,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8322,0.8658
2025-06-07_20:08:01.6373,32.8725,1.1755,-0.0150,348.2062,285.3325,5.7508,30.5187,1.7305,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.9141
2025-06-07_20:08:01.6494,32.8728,1.1756,-0.0148,348.1510,285.5192,5.7340,30.5296,1.7310,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.9141
2025-06-07_20:08:01.6595,32.8729,1.1756,-0.0147,348.1887,285.6496,5.7361,30.5302,1.7288,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9313,0.9450
2025-06-07_20:08:01.6702,32.8730,1.1755,-0.0146,348.2172,285.7150,5.7588,30.5367,1.7266,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9313,0.9450
2025-06-07_20:08:01.6819,32.8731,1.1755,-0.0146,348.2552,285.7676,5.7478,30.5318,1.7253,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9313,0.9450
2025-06-07_20:08:01.6919,32.8731,1.1753,-0.0147,348.3636,285.7014,5.7365,30.4890,1.7266,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9719,0.9775
2025-06-07_20:08:01.7065,32.8732,1.1753,-0.0148,348.4506,285.6064,5.7461,30.4792,1.7242,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9719,0.9775
2025-06-07_20:08:01.7264,32.8733,1.1751,-0.0150,348.4624,285.2928,5.7213,30.4242,1.7323,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9908,0.9926
2025-06-07_20:08:01.7369,32.8732,1.1750,-0.0153,348.4990,285.0947,5.6639,30.4030,1.7336,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9908,0.9926
2025-06-07_20:08:01.7485,32.8732,1.1750,-0.0155,348.5328,284.8877,5.5742,30.3571,1.7384,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9908,0.9926
2025-06-07_20:08:01.7606,32.8731,1.1750,-0.0158,348.5889,284.6284,5.5402,30.3073,1.7435,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9908,0.9926
2025-06-07_20:08:01.7711,32.8730,1.1750,-0.0161,348.6093,284.3658,5.5026,30.2532,1.7510,1.4000,墙 (1),0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9976,0.9981
2025-06-07_20:08:01.7816,32.8728,1.1751,-0.0165,348.6028,283.9691,5.4894,NaN,NaN,NaN,无碰撞,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9976,0.9981
2025-06-07_20:08:01.8143,32.8726,1.1752,-0.0171,348.5548,283.4673,5.3518,NaN,NaN,NaN,无碰撞,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9985,0.9988
