TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度
2025-05-27_21:02:56.9955,Plane,-11.0086,0.0000,-1.0417,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-27_21:02:57.0063,Plane,-11.0813,0.0000,-1.0265,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-27_21:02:57.0199,Plane,-11.1827,0.0000,-1.0103,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3600,0.2000
2025-05-27_21:02:57.0285,Plane,-12.3352,0.0000,-0.7957,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.6723
2025-05-27_21:02:57.0409,Plane,-12.8185,0.0000,-0.5301,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.6723
2025-05-27_21:02:57.0506,Plane,-12.9983,0.0000,-0.5040,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.6723
2025-05-27_21:02:57.0617,Plane,-13.4167,0.0000,-0.3541,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.8658
2025-05-27_21:02:57.0743,Plane,-13.6677,0.0000,-0.3468,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.8658
2025-05-27_21:02:57.0834,Plane,-13.9581,0.0000,-0.3218,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.8658
2025-05-27_21:02:57.0965,Plane,-14.2910,0.0000,-0.2955,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.8658
2025-05-27_21:02:57.1064,Plane,-14.5276,0.0000,-0.3171,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9719,0.9648
2025-05-27_21:02:57.1193,Plane,-14.7847,0.0000,-0.3037,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9775,0.9719
2025-05-27_21:02:57.1296,Plane,-15.0362,0.0000,-0.2743,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9775,0.9719
2025-05-27_21:02:57.1398,Plane,-15.1603,0.0000,-0.2771,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9775,0.9719
2025-05-27_21:02:57.1518,Plane,-15.2602,0.0000,-0.2727,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9856,0.9820
2025-05-27_21:02:57.1615,Plane,-15.4683,0.0000,-0.2596,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9856,0.9820
2025-05-27_21:02:57.1736,Plane,-15.7797,0.0000,-0.2718,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9926,0.9908
2025-05-27_21:02:57.1835,Plane,-16.1863,0.0000,-0.2894,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9926,0.9908
2025-05-27_21:02:57.1964,Plane,-16.7846,0.0000,-0.3107,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9953,0.9941
2025-05-27_21:02:57.2071,Plane,-17.2530,0.0000,-0.3193,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9953,0.9941
2025-05-27_21:02:57.2167,Plane,-17.7235,0.0000,-0.3715,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9970,0.9962
