TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度
2025-05-27_22:17:12.6642,Plane,30.4548,0.0000,-0.3469,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3600,0.0000
2025-05-27_22:17:12.6735,Plane,30.4097,0.0000,-0.3505,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3600,0.0000
2025-05-27_22:17:12.6863,Plane,30.3663,0.0000,-0.3573,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3600,0.0000
2025-05-27_22:17:12.6958,Plane,30.3215,0.0000,-0.3686,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3600,0.0000
2025-05-27_22:17:12.7075,Plane,30.2924,0.0000,-0.4462,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.6723,0.0000
2025-05-27_22:17:12.7184,Plane,30.2398,0.0000,-0.4592,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.6723,0.0000
2025-05-27_22:17:12.7312,Plane,30.1976,0.0000,-0.5103,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.6723,0.0000
2025-05-27_22:17:12.7407,Plane,30.1696,0.0000,-0.5343,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.5904
2025-05-27_22:17:12.7528,Plane,30.1311,0.0000,-0.5519,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.5904
2025-05-27_22:17:12.7631,Plane,30.0842,0.0000,-0.6107,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8322,0.7903
2025-05-27_22:17:12.7756,Plane,30.0380,0.0000,-0.6535,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8322,0.7903
2025-05-27_22:17:12.7843,Plane,29.9924,0.0000,-0.7556,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9313,0.9141
2025-05-27_22:17:12.7960,Plane,29.9419,0.0000,-0.7736,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9313,0.9141
2025-05-27_22:17:12.8068,Plane,29.8955,0.0000,-0.8512,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9313,0.9141
