TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度
2025-05-29_11:14:29.1903,Plane,21.9407,0.0000,-0.0265,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.2285,Plane,15.8012,0.0000,0.0934,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.2526,Plane,15.8753,0.0000,0.1184,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.2603,Plane,18.0662,0.0000,0.1349,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.2684,Plane,19.5940,0.0000,0.1101,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.2730,Plane,19.8239,0.0000,0.0594,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.2807,Plane,19.9551,0.0000,0.0451,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.2919,Plane,18.6574,0.0000,0.0626,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.3033,Plane,17.4987,0.0000,0.0535,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.3152,Plane,16.4079,0.0000,0.0036,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.3269,Plane,14.6526,0.0000,-0.0440,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.3371,Plane,13.0565,0.0000,-0.0227,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.3480,Plane,11.5928,0.0000,-0.0725,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.3581,Plane,13.6610,0.0000,-0.1250,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.3694,Plane,12.6857,0.0000,-0.1468,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.3812,Plane,12.9227,0.0000,-0.1670,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.3924,Plane,15.0262,0.0000,-0.1736,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.4026,Plane,14.8949,0.0000,-0.1538,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.4135,Plane,18.8017,0.0000,-0.2694,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.4259,Plane,20.7252,0.0000,-0.3306,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.4366,Plane,25.5846,0.0000,-0.5368,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.4482,Plane,25.4878,0.0000,-0.5478,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.4850,Plane,27.3808,0.0000,-0.5936,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.5122,Plane,27.1643,0.0000,-0.6155,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.5178,Plane,27.3727,0.0000,-0.5867,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.5259,Plane,27.4386,0.0000,-0.5890,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.5367,Plane,27.3930,0.0000,-0.5828,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.5467,Plane,27.4497,0.0000,-0.5834,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.5578,Plane,27.4861,0.0000,-0.5907,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.5701,Plane,27.5115,0.0000,-0.5958,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:14:29.5810,Plane,27.5152,0.0000,-0.5941,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
