TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-03_17:50:53.1548,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.9412,1.7074,0.2370,0.0629,0.6899,0.0745,-0.7173
2025-06-03_17:50:53.1661,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.9416,1.7078,0.2368,0.0643,0.6895,0.0756,-0.7175
2025-06-03_17:50:53.1769,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.9419,1.7081,0.2366,0.0655,0.6892,0.0762,-0.7176
2025-06-03_17:50:53.1876,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5904,0.4880,32.9423,1.7084,0.2364,0.0667,0.6889,0.0770,-0.7176
2025-06-03_17:50:53.1987,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5904,0.4880,32.9426,1.7087,0.2362,0.0681,0.6887,0.0777,-0.7177
2025-06-03_17:50:53.2095,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7903,0.7903,32.9430,1.7091,0.2359,0.0696,0.6886,0.0784,-0.7176
2025-06-03_17:50:53.2212,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7903,0.7903,32.9434,1.7094,0.2357,0.0709,0.6885,0.0791,-0.7175
2025-06-03_17:50:53.2320,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8658,0.8658,32.9438,1.7097,0.2353,0.0723,0.6883,0.0799,-0.7174
2025-06-03_17:50:53.2433,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8658,0.8658,32.9441,1.7100,0.2350,0.0734,0.6882,0.0807,-0.7173
2025-06-03_17:50:53.2545,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9313,0.9313,32.9445,1.7102,0.2348,0.0744,0.6882,0.0814,-0.7171
