TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-03_17:02:45.8032,Plane,31.6802,0.0000,-1.0036,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.4641,1.3327,-0.1382,-0.2744,0.7674,-0.3964,-0.4227
2025-06-03_17:02:45.8343,Plane,31.6750,0.0000,-0.9969,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.4613,1.3358,-0.1385,-0.2697,0.7735,-0.3932,-0.4177
2025-06-03_17:02:45.8449,Plane,31.6771,0.0000,-0.9846,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.4603,1.3372,-0.1388,-0.2675,0.7756,-0.3922,-0.4160
2025-06-03_17:02:45.8551,Plane,31.6771,0.0000,-0.9808,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.4601,1.3376,-0.1390,-0.2666,0.7762,-0.3922,-0.4156
2025-06-03_17:02:45.8674,Plane,31.6755,0.0000,-0.9869,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.4598,1.3381,-0.1392,-0.2651,0.7774,-0.3920,-0.4144
2025-06-03_17:02:45.8791,Plane,31.6775,0.0000,-0.9766,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.4593,1.3389,-0.1395,-0.2650,0.7785,-0.3911,-0.4133
2025-06-03_17:02:45.8867,Plane,31.6775,0.0000,-0.9741,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.4590,1.3395,-0.1399,-0.2640,0.7799,-0.3903,-0.4119
2025-06-03_17:02:45.8965,Plane,31.6737,0.0000,-0.9825,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.4586,1.3399,-0.1402,-0.2624,0.7815,-0.3895,-0.4108
2025-06-03_17:02:45.9077,Plane,31.6708,0.0000,-0.9801,-707169000000000000000000000000000000.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.4579,1.3406,-0.1404,-0.2606,0.7828,-0.3887,-0.4101
2025-06-03_17:02:45.9265,Plane,31.6597,0.0000,-0.9862,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,32.4567,1.3414,-0.1410,-0.2566,0.7848,-0.3875,-0.4099
