TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度
2025-05-29_11:11:54.5859,地面箭头,28.5212,0.0010,-0.0616,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.5953,地面箭头,28.5168,0.0010,-0.0647,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.6071,地面箭头,28.5085,0.0010,-0.0636,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.6179,地面箭头,28.5012,0.0010,-0.0628,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.6282,Plane,28.4850,0.0000,-0.0636,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.6404,Plane,28.4803,0.0000,-0.0638,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.6518,Plane,28.4819,0.0000,-0.0643,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.6627,Plane,28.4743,0.0000,-0.0663,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.6739,Plane,28.4740,0.0000,-0.0674,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.6837,Plane,28.4701,0.0000,-0.0683,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.6961,Plane,28.4748,0.0000,-0.0688,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.7073,地面箭头,28.5000,0.0010,-0.0688,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.7175,地面箭头,28.5000,0.0010,-0.0690,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.7282,地面箭头,28.5097,0.0010,-0.0696,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.7405,地面箭头,28.5184,0.0010,-0.0725,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.7517,地面箭头,28.5270,0.0010,-0.0735,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.7619,地面箭头,28.5291,0.0010,-0.0743,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.7739,地面箭头,28.5264,0.0010,-0.0809,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.7852,地面箭头,28.5286,0.0010,-0.0797,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.7964,地面箭头,28.5281,0.0010,-0.0812,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.8068,地面箭头,28.5297,0.0010,-0.0821,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.8180,地面箭头,28.5266,0.0010,-0.0847,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.8298,地面箭头,28.5262,0.0010,-0.0872,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.8396,地面箭头,28.5212,0.0010,-0.0882,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.8519,地面箭头,28.5091,0.0010,-0.0907,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.8622,地面箭头,28.5000,0.0010,-0.0927,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.8735,地面箭头,28.5008,0.0010,-0.0931,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.8853,地面箭头,28.5000,0.0010,-0.0950,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.8955,Plane,28.4848,0.0000,-0.0972,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.9067,Plane,28.4780,0.0000,-0.0980,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.9181,Plane,28.4840,0.0000,-0.1007,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.9293,Plane,28.4848,0.0000,-0.1005,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.9402,地面箭头,28.5000,0.0010,-0.1015,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.9515,Plane,27.6989,0.0000,0.1044,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.9622,Plane,26.2399,0.0000,0.5244,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.9729,Plane,26.2298,0.0000,0.5232,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.9852,Plane,22.9328,0.0000,1.8642,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:54.9948,Plane,22.0251,0.0000,2.2017,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:55.0071,Plane,23.2521,0.0000,1.7949,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5120,0.4096
2025-05-29_11:11:55.0173,Plane,23.2394,0.0000,1.7946,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5120,0.4096
2025-05-29_11:11:55.0295,Plane,23.2482,0.0000,1.7924,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5120,0.4096
2025-05-29_11:11:55.0398,Plane,23.2330,0.0000,1.7959,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5120,0.4096
2025-05-29_11:11:55.0521,Plane,23.2375,0.0000,1.7967,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.1678,0.1342
2025-05-29_11:11:55.0629,Plane,23.2051,0.0000,1.8050,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.1678,0.1342
2025-05-29_11:11:55.0737,Plane,23.1982,0.0000,1.8079,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.1678,0.1342
2025-05-29_11:11:55.1623,Plane,22.9509,0.0000,1.8686,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000
2025-05-29_11:11:55.1735,Plane,22.9271,0.0000,1.8782,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000
2025-05-29_11:11:55.1848,Plane,22.8725,0.0000,1.8917,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.2647,0.3692
2025-05-29_11:11:55.1960,Plane,22.8406,0.0000,1.9002,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3895,0.3692
2025-05-29_11:11:55.2070,Plane,22.8109,0.0000,1.9006,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3895,0.3692
2025-05-29_11:11:55.2172,Plane,22.7620,0.0000,1.9108,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3895,0.3692
2025-05-29_11:11:55.2284,Plane,22.5147,0.0000,1.3524,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5048,0.4954
2025-05-29_11:11:55.2399,Plane,22.3156,0.0000,1.1230,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.6830,0.7416
2025-05-29_11:11:55.2517,Plane,22.2301,0.0000,1.1333,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.6830,0.7416
2025-05-29_11:11:55.2625,Plane,22.2158,0.0000,1.0377,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.6830,0.7416
2025-05-29_11:11:55.2742,Plane,22.1973,0.0000,0.9561,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8702,0.8942
2025-05-29_11:11:55.2854,Plane,22.1348,0.0000,0.9145,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8702,0.8942
2025-05-29_11:11:55.2952,Plane,22.0243,0.0000,0.9268,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8702,0.8942
2025-05-29_11:11:55.3071,Plane,21.8773,0.0000,0.9131,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9169,0.9323
2025-05-29_11:11:55.3184,Plane,21.7360,0.0000,0.8819,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9169,0.9323
2025-05-29_11:11:55.3295,Plane,21.5708,0.0000,0.8632,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9782,0.9822
2025-05-29_11:11:55.3402,Plane,21.3922,0.0000,0.8794,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9782,0.9822
2025-05-29_11:11:55.3515,Plane,21.2776,0.0000,0.8695,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9826,0.9858
2025-05-29_11:11:55.3628,Plane,21.1610,0.0000,0.8548,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9888,0.9909
2025-05-29_11:11:55.3739,Plane,21.0270,0.0000,0.8703,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9888,0.9909
2025-05-29_11:11:55.3852,Plane,20.9256,0.0000,0.8069,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9929,0.9942
2025-05-29_11:11:55.3953,Plane,20.7182,0.0000,0.7999,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9929,0.9942
2025-05-29_11:11:55.4133,Plane,20.4342,0.0000,0.7785,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9971,0.9976
2025-05-29_11:11:55.4236,Plane,20.2097,0.0000,0.7358,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9971,0.9976
2025-05-29_11:11:55.4342,Plane,19.9958,0.0000,0.7490,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9971,0.9976
2025-05-29_11:11:55.4460,Plane,20.0171,0.0000,0.5951,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9981,0.9985
2025-05-29_11:11:55.4568,Plane,20.7617,0.0000,-0.3823,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9990,0.9992
2025-05-29_11:11:55.4665,Plane,20.5825,0.0000,-0.3905,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9990,0.9992
2025-05-29_11:11:55.4792,Plane,21.1196,0.0000,-1.0403,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9990,0.9992
2025-05-29_11:11:55.4905,Plane,21.0056,0.0000,-1.1082,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9990,0.9992
2025-05-29_11:11:55.5013,Plane,20.9810,0.0000,-1.1536,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9995,0.9996
2025-05-29_11:11:55.5122,Plane,20.9309,0.0000,-1.1630,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9995,0.9996
2025-05-29_11:11:55.5236,Plane,21.0215,0.0000,-1.1700,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,0.9997
2025-05-29_11:11:55.5349,Plane,20.9923,0.0000,-1.1332,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9999
2025-05-29_11:11:55.5446,Plane,21.1790,0.0000,-1.1162,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9999
2025-05-29_11:11:55.5569,Plane,21.2137,0.0000,-1.1285,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9999
2025-05-29_11:11:55.5681,Plane,21.2056,0.0000,-1.1392,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9999,0.9999
2025-05-29_11:11:55.5824,Plane,21.2779,0.0000,-1.1492,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9999,1.0000
2025-05-29_11:11:55.5901,Plane,21.3571,0.0000,-1.1412,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9999,1.0000
2025-05-29_11:11:55.6014,Cube,23.0801,0.4494,-0.9858,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9999,1.0000
2025-05-29_11:11:55.6127,Cube,23.0801,0.4750,-0.9910,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:55.6238,Cube,23.0801,0.4750,-0.9893,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:55.6340,Plane,10.6221,0.0000,-2.1445,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:55.6453,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:55.6570,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:55.6678,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-29_11:11:55.6791,无碰撞,NaN,NaN,NaN,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
