TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-04_20:49:54.0540,Plane,3.7919,0.0000,-3.3463,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2453,1.4493,-0.1207,-0.0557,0.9698,-0.1790,-0.1560
2025-06-04_20:49:54.0647,Plane,3.7560,0.0000,-3.3190,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2454,1.4491,-0.1214,-0.0555,0.9694,-0.1797,-0.1579
2025-06-04_20:49:54.0758,Plane,3.7444,0.0000,-3.3023,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2454,1.4489,-0.1220,-0.0555,0.9689,-0.1804,-0.1599
2025-06-04_20:49:54.0869,Plane,3.7329,0.0000,-3.2885,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2456,1.4488,-0.1221,-0.0557,0.9684,-0.1811,-0.1621
2025-06-04_20:49:54.0979,Plane,3.7024,0.0000,-3.2717,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2455,1.4486,-0.1229,-0.0554,0.9681,-0.1813,-0.1638
2025-06-04_20:49:54.1090,Plane,3.6739,0.0000,-3.2542,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2454,1.4484,-0.1235,-0.0558,0.9676,-0.1818,-0.1659
2025-06-04_20:49:54.1206,Plane,3.6621,0.0000,-3.2446,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2454,1.4484,-0.1239,-0.0552,0.9673,-0.1822,-0.1677
2025-06-04_20:49:54.1314,Plane,3.6446,0.0000,-3.2244,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2453,1.4483,-0.1245,-0.0557,0.9667,-0.1831,-0.1699
2025-06-04_20:49:54.1425,Plane,3.6261,0.0000,-3.2148,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2452,1.4482,-0.1252,-0.0563,0.9662,-0.1836,-0.1719
2025-06-04_20:49:54.1566,Plane,3.6104,0.0000,-3.1982,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2451,1.4481,-0.1257,-0.0566,0.9656,-0.1842,-0.1748
