TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-04_21:12:43.0482,Plane,30.8254,0.0000,0.2107,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,32.7051,1.0570,-0.1320,-0.1751,0.6517,-0.1834,-0.7148
2025-06-04_21:12:43.0584,Plane,30.8245,0.0000,0.0979,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7903,0.7379,32.7043,1.0568,-0.1314,-0.1752,0.6506,-0.1837,-0.7157
2025-06-04_21:12:43.0695,Plane,30.8174,0.0000,0.2216,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.8658,32.7034,1.0569,-0.1311,-0.1745,0.6498,-0.1836,-0.7167
2025-06-04_21:12:43.0803,Plane,30.8169,0.0000,0.2221,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.8658,32.7024,1.0568,-0.1307,-0.1736,0.6499,-0.1847,-0.7165
2025-06-04_21:12:43.0898,Plane,30.8088,0.0000,0.3070,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9313,32.7017,1.0563,-0.1307,-0.1721,0.6501,-0.1857,-0.7164
2025-06-04_21:12:43.1021,Plane,30.8025,0.0000,0.3411,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9775,0.9719,32.7013,1.0561,-0.1307,-0.1711,0.6484,-0.1861,-0.7181
2025-06-04_21:12:43.1143,Plane,30.7970,0.0000,0.3590,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9775,0.9719,32.7012,1.0561,-0.1306,-0.1722,0.6454,-0.1833,-0.7213
2025-06-04_21:12:43.1255,Plane,30.7908,0.0000,0.3796,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9856,0.9820,32.7011,1.0563,-0.1302,-0.1741,0.6437,-0.1797,-0.7233
2025-06-04_21:12:43.1355,Plane,30.7886,0.0000,0.3777,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9908,0.9885,32.7008,1.0566,-0.1299,-0.1752,0.6438,-0.1780,-0.7233
2025-06-04_21:12:43.1482,Plane,30.7805,0.0000,0.3720,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9908,0.9885,32.7007,1.0568,-0.1296,-0.1745,0.6453,-0.1779,-0.7222
2025-06-04_21:12:43.1593,Plane,30.7628,0.0000,0.3622,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9908,0.9885,32.7002,1.0569,-0.1294,-0.1719,0.6475,-0.1791,-0.7205
2025-06-04_21:12:43.1699,Plane,30.7369,0.0000,0.3607,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9926,0.9908,32.6997,1.0569,-0.1294,-0.1684,0.6494,-0.1802,-0.7193
2025-06-04_21:12:43.1816,Plane,30.7242,0.0000,0.3668,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9926,0.9908,32.6995,1.0568,-0.1293,-0.1661,0.6494,-0.1813,-0.7196
2025-06-04_21:12:43.1917,Plane,30.7083,0.0000,0.3708,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9926,0.9908,32.6996,1.0570,-0.1293,-0.1652,0.6493,-0.1804,-0.7201
2025-06-04_21:12:43.2031,Plane,30.6943,0.0000,0.3740,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9976,0.9970,32.6995,1.0572,-0.1291,-0.1644,0.6492,-0.1795,-0.7207
2025-06-04_21:12:43.2138,Plane,30.6782,0.0000,0.3858,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9981,0.9976,32.6992,1.0578,-0.1286,-0.1634,0.6478,-0.1787,-0.7224
2025-06-04_21:12:43.2255,Plane,30.6643,0.0000,0.3926,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9981,0.9976,32.6990,1.0582,-0.1279,-0.1622,0.6475,-0.1782,-0.7230
2025-06-04_21:12:43.2355,Plane,30.6519,0.0000,0.4114,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9981,0.9976,32.6987,1.0581,-0.1270,-0.1622,0.6455,-0.1765,-0.7252
2025-06-04_21:12:43.2465,Plane,30.6470,0.0000,0.4205,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9992,0.9990,32.6986,1.0581,-0.1262,-0.1630,0.6442,-0.1745,-0.7266
2025-06-04_21:12:43.2578,Plane,30.6492,0.0000,0.4353,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9992,0.9990,32.6990,1.0582,-0.1252,-0.1635,0.6419,-0.1738,-0.7287
2025-06-04_21:12:43.2690,Plane,30.6684,0.0000,0.4483,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9996,0.9995,32.6994,1.0585,-0.1242,-0.1662,0.6387,-0.1727,-0.7312
2025-06-04_21:12:43.2815,Plane,30.6927,0.0000,0.4893,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9996,0.9995,32.7001,1.0587,-0.1230,-0.1684,0.6365,-0.1730,-0.7325
2025-06-04_21:12:43.2922,Plane,30.7110,0.0000,0.4989,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9997,32.7007,1.0589,-0.1218,-0.1693,0.6347,-0.1746,-0.7335
2025-06-04_21:12:43.3034,Plane,30.7201,0.0000,0.5085,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9997,32.7014,1.0590,-0.1204,-0.1684,0.6332,-0.1770,-0.7344
2025-06-04_21:12:43.3142,Plane,30.7228,0.0000,0.4036,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9997,32.7017,1.0591,-0.1194,-0.1669,0.6348,-0.1806,-0.7325
